"año","variable","value"
2001,"BDo",NA
2002,"BDo",NA
2003,"BDo",NA
2004,"BDo",NA
2005,"BDo",NA
2006,"BDo",NA
2007,"BDo",NA
2008,"BDo",NA
2009,"BDo",NA
2010,"BDo",0.18
2011,"BDo",0.2
2012,"BDo",NA
2013,"BDo",0.25
2014,"BDo",0.25
2015,"BDo",0.25
2016,"BDo",0.3
2017,"BDo",0.3
2018,"BDo",0.23
2019,"BDo",0.3
2020,"BDo",0.31
2021,"BDo",0.29
2022,"BDo",0.27
2023,"BDo",0.33
2024,"BDo",0.32
2025,"BDo",NA
2026,"BDo",NA
2001,"RMS",NA
2002,"RMS",NA
2003,"RMS",NA
2004,"RMS",NA
2005,"RMS",NA
2006,"RMS",NA
2007,"RMS",NA
2008,"RMS",NA
2009,"RMS",NA
2010,"RMS",0.4
2011,"RMS",0.4
2012,"RMS",0.4
2013,"RMS",0.4
2014,"RMS",0.4
2015,"RMS",0.4
2016,"RMS",0.4
2017,"RMS",0.4
2018,"RMS",0.4
2019,"RMS",0.4
2020,"RMS",0.4
2021,"RMS",0.4
2022,"RMS",0.4
2023,"RMS",0.4
2024,"RMS",0.4
2025,"RMS",0.4
2026,"RMS",NA
