Informe/Acta,Número.sesion,Año,Tema.Merluza,Estado,Año.estado,Detalle.estado,Rango.cuota,Año.cuota,Rango.cuota.min,Rango.cuota.max,Cuota.recomendacion,Abstencion,Decision.unanime,Mayoria.cientifica,Mayoria.institucional,Estrategia.explotacion,Opinion.favorable,Detalle.estrategia.explotacion,Programa.recuperacion,Recomienda.Programa.Recuperacion,Detalle.Programa.recuperacion
Acta,1,2021,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2021,1,0,,,0,,,,,,,,,1,0,"""...no recuerda que el CCT, y al parecer no está en ningún acta,",0,,
Acta,3,2021,1,0,,,0,,,,,,,,,1,0,,1,1,
Acta,4,2021,1,1,2021,0.3,0,,,,,,,,,1,,,0,,
Acta,1,2022,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2022,1,0,,,0,,,,,,,,,0,,,0,,
Acta,3,2022,0,,,,,,,,,,,,,0,,,0,,
Acta,4,2022,0,,,,,,,,,,,,,0,,,0,,
Acta,5,2022,1,1,2021,0.29,0,,,,,,,,,0,,,0,,
Acta,1,2023,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2023,1,0,,,0,,,,,,,,,0,,,0,,
Acta,3,2023,1,0,,,0,,,,,,,,,0,,,0,,
Acta,4,2023,1,1,2022,0.27,1,2024,15446,19308,19308,,1,0,0,1,,,0,,
Acta,1,2024,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2024,1,0,,,0,,,,,,,,,0,,,0,,
Acta,3,2024,1,0,,,0,,,,,,,,,0,,,0,,
Acta,4,2024,1,1,2023,0.33,1,2025,15000,18751,18751,,1,0,0,1,,,0,,
Acta,1,2025,1,0,,,0,,,,,,,,,1,0,F<Fmsy (.75Fmsy),0,,
Acta,2,2025,1,0,,,0,,,,,,,,,0,0,,0,,"Se presentan los resultados de la revisión por pares y se discuten resultados preliminares de la MSE, en donde siempre F<Fmsy"
Acta,3,2025,1,0,,,0,,,,,,,,,0,0,,0,,Idem al acta anterior. No se discuten las RCD pero si se discuten sobre el avance en el MSE en donde se van a plantear distintas F
Acta,4,2025,0,,,,,,,,,,,,,,,,,,
Acta,5,2025,1,1,2024,0.32,1,2026,17845,22306,22306,,1,,,1,0,F<Fmsy (.8Fmsy),0,,Se terminan inaplicando las reglas de control de decisión y reemplazando por otras más precautorias
